subject,pitch
201,0.0
201,0.0006910660000000001
201,0.00222251
201,0.00473408
201,0.00835282
201,0.0131903
201,0.0193401
201,0.0268762
201,0.0358515
201,0.046297000000000005
201,0.0582215
201,0.0716123
201,0.08643580000000001
201,0.102639
201,0.120151
201,0.138889
201,0.158755
201,0.17964000000000002
201,0.201432
201,0.224012
201,0.247262
201,0.271069
201,0.295322
201,0.319922
201,0.344779
201,0.369817
201,0.394973
201,0.4202
201,0.445469
201,0.470764
201,0.4960890000000001
201,0.521458
201,0.546904
201,0.572468
201,0.598204
201,0.624171
201,0.650438
201,0.677072
201,0.704145
201,0.731722
201,0.759868
201,0.788637
201,0.81808
201,0.848234
201,0.879127
201,0.910773
201,0.943175
201,0.976322
201,1.01019
201,1.04475
201,1.07995
201,1.11574
201,1.15206
201,1.1888299999999998
201,1.226
201,1.26349
201,1.30122
201,1.33913
201,1.37716
201,1.41525
201,1.45335
201,1.49141
201,1.52941
201,1.5673
201,1.60507
201,1.64262
201,1.67997
201,1.71707
201,1.7539
201,1.7904799999999998
201,1.82678
201,1.86286
201,1.89868
201,1.93425
201,1.96959
201,2.00471
201,2.03963
201,2.07433
201,2.10879
201,2.143
201,2.17692
201,2.21053
201,2.24376
201,2.27659
201,2.30893
201,2.3407400000000003
201,2.37195
201,2.40248
201,2.43226
201,2.46123
201,2.48931
201,2.51643
201,2.54254
201,2.56759
201,2.59153
201,2.61435
201,2.6360200000000003
201,2.65656
201,2.67596
201,2.69427
201,2.71152
201,2.72778
201,2.74311
201,2.75759
201,2.77132
201,2.7844
201,2.79691
201,2.80897
201,2.82068
201,2.8321400000000003
201,2.84344
201,2.85466
201,2.86588
201,2.87716
201,2.88856
201,2.90009
201,2.91178
201,2.92362
201,2.9355900000000004
201,2.94766
201,2.95978
201,2.97189
201,2.98393
201,2.99582
201,3.00746
201,3.01879
201,3.02971
201,3.04014
201,3.05001
201,3.05926
201,3.06782
201,3.07566
201,3.08275
201,3.08908
201,3.09466
201,3.09952
201,3.10368
201,3.10721
201,3.11018
201,3.11267
201,3.11478
201,3.11659
201,3.11822
201,3.11977
201,3.12136
201,3.1231
201,3.12506
201,3.12736
201,3.13005
201,3.1332
201,3.13686
201,3.14103
201,3.14573
201,3.1509400000000003
201,3.1566
201,3.16268
201,3.16908
201,3.17571
201,3.18246
201,3.1892
201,3.19581
201,3.20215
201,3.20807
201,3.2134400000000003
201,3.2181
201,3.22195
201,3.22485
201,3.2267
201,3.2274
201,3.22689
201,3.22511
201,3.22204
201,3.21766
201,3.21199
201,3.20507
201,3.19694
201,3.1877
201,3.1774400000000003
201,3.16626
201,3.15428
201,3.14164
201,3.12847
201,3.11491
201,3.10111
201,3.0872
201,3.07331
201,3.05955
201,3.04605
201,3.03289
201,3.02016
201,3.00791
201,2.9961900000000004
201,2.98501
201,2.9744
201,2.96433
201,2.95478
201,2.94571
201,2.93705
201,2.92873
201,2.92069
201,2.91283
201,2.90506
201,2.8972900000000004
201,2.88943
201,2.88139
201,2.87308
201,2.86443
201,2.85536
201,2.84581
201,2.83573
201,2.82508
201,2.81383
201,2.80195
201,2.78943
201,2.77627
201,2.76247
201,2.74804
201,2.73298
201,2.71732
201,2.70107
201,2.68423
201,2.66683
201,2.64886
201,2.6303400000000003
201,2.61126
201,2.5916
201,2.57137
201,2.55052
201,2.52906
201,2.50693
201,2.48412
201,2.4605900000000003
201,2.4363
201,2.41122
201,2.38534
201,2.35861
201,2.33102
201,2.30257
201,2.27325
201,2.24307
201,2.21205
201,2.18024
201,2.14768
201,2.11444
201,2.08059
201,2.04622
201,2.01142
201,1.97632
201,1.94101
201,1.90562
201,1.87025
201,1.83504
201,1.80008
201,1.7654900000000002
201,1.73137
201,1.69779
201,1.66484
201,1.63257
201,1.60102
201,1.5702200000000002
201,1.54015
201,1.51081
201,1.48216
201,1.45415
201,1.42671
201,1.39976
201,1.3732
201,1.34693
201,1.32083
201,1.2947799999999998
201,1.26866
201,1.24235
201,1.21573
201,1.18872
201,1.1612
201,1.13311
201,1.10438
201,1.0749799999999998
201,1.04489
201,1.0141
201,0.982666
201,0.950613
201,0.918031
201,0.885075
201,0.8518319999999999
201,0.818472
201,0.785107
201,0.7519359999999999
201,0.719175
201,0.686951
201,0.655455
201,0.6248060000000001
201,0.595114
201,0.5664779999999999
201,0.538982
201,0.512695
201,0.487666
201,0.463925
201,0.441482
201,0.420325
201,0.40042
201,0.381716
201,0.36416
201,0.347682
201,0.332176
201,0.31753600000000004
201,0.303634
201,0.290347
201,0.277542
201,0.26508200000000004
201,0.252839
201,0.240686
201,0.228518
201,0.216242
201,0.203764
201,0.191029
201,0.177977
201,0.16458399999999998
201,0.150854
201,0.13677899999999998
201,0.122396
201,0.107734
201,0.0928762
201,0.077905
201,0.06288440000000001
201,0.0479137
201,0.0330704
201,0.0184447
201,0.00414012
201,-0.00976674
201,-0.0231842
201,-0.0360489
201,-0.0482833
201,-0.0598248
201,-0.07064400000000001
201,-0.0807043
201,-0.09000369999999999
201,-0.0985401
201,-0.106321
201,-0.113384
201,-0.119766
201,-0.125523
201,-0.13071
201,-0.135392
201,-0.13964100000000002
201,-0.143531
201,-0.147132
201,-0.150509
201,-0.153722
201,-0.15682100000000002
201,-0.159854
201,-0.162849
201,-0.16583
201,-0.168809
201,-0.171774
201,-0.174707
201,-0.177569
201,-0.180322
201,-0.182915
201,-0.185281
201,-0.187351
201,-0.189049
201,-0.190297
201,-0.191008
201,-0.191103
201,-0.190506
201,-0.189148
201,-0.186959
201,-0.183877
201,-0.179866
201,-0.17489200000000002
201,-0.168943
201,-0.162011
201,-0.154102
201,-0.145242
201,-0.13547
201,-0.124834
201,-0.11339
201,-0.101202
201,-0.08833619999999999
201,-0.07486699999999999
201,-0.060864199999999986
201,-0.046399800000000005
201,-0.031542
201,-0.0163499
201,-0.0008926610000000002
201,0.014786
201,0.030631400000000007
201,0.0465887
201,0.062644
201,0.07875599999999999
201,0.0949306
201,0.111138
201,0.12735
201,0.143594
201,0.159847
201,0.176144
201,0.19246
201,0.208777
201,0.225127
201,0.241491
201,0.257891
201,0.274302
201,0.290736
201,0.307185
201,0.323642
201,0.340077
201,0.356479
201,0.372827
201,0.389057
201,0.405141
201,0.421001
201,0.436571
201,0.451811
201,0.466638
201,0.481008
201,0.494846
201,0.508117
201,0.520788
201,0.532817
201,0.5441819999999999
201,0.554873
201,0.564874
201,0.57418
201,0.5828369999999999
201,0.590858
201,0.598325
201,0.60528
201,0.6117640000000001
201,0.617904
201,0.623764
201,0.629487
201,0.6352180000000001
201,0.641101
201,0.647278
201,0.653883
201,0.661039
201,0.668855
201,0.677425
201,0.686821
201,0.6970970000000001
201,0.708282
201,0.720383
201,0.733374
201,0.747213
201,0.76181
201,0.77708
201,0.792887
201,0.809071
201,0.825492
201,0.8419610000000001
201,0.8583149999999999
201,0.8743489999999999
201,0.8898469999999999
201,0.904645
201,0.918536
201,0.931374
201,0.942974
201,0.95318
201,0.96189
201,0.968995
201,0.974435
201,0.978146
201,0.980112
201,0.980344
201,0.978876
201,0.975758
201,0.971067
201,0.964901
201,0.957364
201,0.948581
201,0.938672
201,0.927776
201,0.916034
201,0.903571
201,0.8905129999999999
201,0.876974
201,0.863057
201,0.848852
201,0.834435
201,0.8198700000000001
201,0.8052010000000001
201,0.79045
201,0.775626
201,0.760727
201,0.745732
201,0.73061
201,0.715314
201,0.699789
201,0.6839770000000001
201,0.667813
201,0.651231
201,0.634167
201,0.616555
201,0.598333
201,0.579447
201,0.5598479999999999
201,0.5395
201,0.5183760000000001
201,0.496459
201,0.473738
201,0.4502140000000001
201,0.4259060000000001
201,0.40084
201,0.375042
201,0.348562
201,0.321437
201,0.29373
201,0.26552
201,0.236844
201,0.207775
201,0.178345
201,0.148633
201,0.118717
201,0.0886059
201,0.0583742
201,0.0280128
201,-0.00246111
201,-0.0330748
201,-0.0638632
201,-0.0948682
201,-0.126137
201,-0.15772
201,-0.189672
201,-0.222044
201,-0.254888
201,-0.28825300000000004
201,-0.322179
201,-0.356702
201,-0.391847
201,-0.427619
201,-0.4640220000000001
201,-0.501016
201,-0.5385449999999999
201,-0.576579
201,-0.6150359999999999
201,-0.6538649999999999
201,-0.692967
201,-0.732226
201,-0.771571
201,-0.810846
201,-0.849978
201,-0.888826
201,-0.927254
201,-0.965198
201,-1.00253
201,-1.03919
201,-1.0751
201,-1.11015
201,-1.14434
201,-1.17762
201,-1.21002
201,-1.24156
201,-1.27222
201,-1.30209
201,-1.3312
201,-1.35964
201,-1.38746
201,-1.41471
201,-1.44152
201,-1.46793
201,-1.49405
201,-1.51995
201,-1.54569
201,-1.57134
201,-1.59696
201,-1.6226
201,-1.6482599999999998
201,-1.67395
201,-1.69966
201,-1.72537
201,-1.75102
201,-1.77655
201,-1.80187
201,-1.8269
201,-1.85151
201,-1.8756
201,-1.89904
201,-1.9217
201,-1.94345
201,-1.96415
201,-1.98369
201,-2.00195
201,-2.0188200000000003
201,-2.0342
201,-2.04803
201,-2.06023
201,-2.07075
201,-2.07957
201,-2.08668
201,-2.09207
201,-2.09579
201,-2.09786
201,-2.09835
201,-2.09732
201,-2.09484
201,-2.091
201,-2.08589
201,-2.07958
201,-2.07216
201,-2.06371
201,-2.05428
201,-2.04395
201,-2.03275
201,-2.02071
201,-2.0078400000000003
201,-1.99414
201,-1.97957
201,-1.96411
201,-1.9477
201,-1.93026
201,-1.9117
201,-1.89194
201,-1.87086
201,-1.84836
201,-1.82432
201,-1.79862
201,-1.77117
201,-1.74184
201,-1.71056
201,-1.67723
201,-1.64178
201,-1.60417
201,-1.56436
201,-1.52233
201,-1.4781
201,-1.43169
201,-1.38314
201,-1.33252
201,-1.2799200000000002
201,-1.22544
201,-1.16918
201,-1.1112799999999998
201,-1.05188
201,-0.991123
201,-0.929164
201,-0.866142
201,-0.802236
201,-0.737627
201,-0.672435
201,-0.606866
201,-0.5410149999999999
201,-0.475051
201,-0.409132
201,-0.343304
201,-0.27770500000000004
201,-0.212344
201,-0.147332
201,-0.0827662
201,-0.018609200000000003
201,0.045061800000000006
201,0.108307
201,0.17106500000000002
201,0.23328
201,0.295033
201,0.356262
201,0.417047
201,0.477425
201,0.537466
201,0.597233
201,0.656784
201,0.716163
201,0.7753180000000001
